frame_id,timestamp
0,1706938230.522
1,1706938230.542
2,1706938230.562
3,1706938230.582
4,1706938230.602
5,1706938230.622
6,1706938230.642
7,1706938230.672
8,1706938230.692
9,1706938230.712
10,1706938230.732
11,1706938230.752
12,1706938230.772
13,1706938230.792
14,1706938230.812
15,1706938230.842
16,1706938230.862
17,1706938230.882
18,1706938230.902
19,1706938230.922
20,1706938230.942
21,1706938230.962
22,1706938230.992
23,1706938231.012
24,1706938231.032
25,1706938231.052
26,1706938231.072
27,1706938231.092
28,1706938231.112
29,1706938231.132
30,1706938231.162
31,1706938231.182
32,1706938231.202
33,1706938231.222
34,1706938231.242
35,1706938231.262
36,1706938231.282
37,1706938231.312
38,1706938231.332
39,1706938231.352
40,1706938231.372
41,1706938231.392
42,1706938231.412
43,1706938231.432
44,1706938231.452
45,1706938231.482
46,1706938231.502
47,1706938231.522
48,1706938231.542
49,1706938231.562
50,1706938231.582
51,1706938231.602
52,1706938231.632
53,1706938231.652
54,1706938231.672
55,1706938231.692
56,1706938231.712
57,1706938231.732
58,1706938231.752
59,1706938231.772
60,1706938231.802
61,1706938231.822
62,1706938231.842
63,1706938231.862
64,1706938231.882
65,1706938231.902
66,1706938231.922
67,1706938231.952
68,1706938231.972
69,1706938231.992
70,1706938232.012
71,1706938232.032
72,1706938232.052
73,1706938232.072
74,1706938232.092
75,1706938232.122
76,1706938232.142
77,1706938232.162
78,1706938232.182
79,1706938232.202
80,1706938232.222
81,1706938232.242
82,1706938232.272
83,1706938232.292
84,1706938232.312
85,1706938232.332
86,1706938232.352
87,1706938232.372
88,1706938232.392
89,1706938232.412
90,1706938232.442
91,1706938232.462
92,1706938232.482
93,1706938232.502
94,1706938232.522
95,1706938232.542
96,1706938232.562
97,1706938232.592
98,1706938232.612
99,1706938232.632
100,1706938232.652
101,1706938232.672
102,1706938232.692
103,1706938232.712
104,1706938232.732
105,1706938232.762
106,1706938232.782
107,1706938232.802
108,1706938232.822
109,1706938232.842
110,1706938232.862
111,1706938232.882
112,1706938232.912
113,1706938232.932
114,1706938232.952
115,1706938232.972
116,1706938232.992
117,1706938233.012
118,1706938233.032
119,1706938233.052
120,1706938233.082
121,1706938233.102
122,1706938233.122
123,1706938233.142
124,1706938233.162
125,1706938233.182
126,1706938233.202
127,1706938233.232
128,1706938233.252
129,1706938233.272
130,1706938233.292
131,1706938233.312
132,1706938233.332
133,1706938233.352
134,1706938233.372
135,1706938233.402
136,1706938233.422
137,1706938233.442
138,1706938233.462
139,1706938233.482
140,1706938233.502
141,1706938233.522
142,1706938233.552
143,1706938233.572
144,1706938233.592
145,1706938233.612
146,1706938233.632
147,1706938233.652
148,1706938233.672
149,1706938233.692
150,1706938233.722
151,1706938233.742
152,1706938233.762
153,1706938233.782
154,1706938233.802
155,1706938233.822
156,1706938233.842
157,1706938233.872
158,1706938233.892
159,1706938233.912
160,1706938233.932
161,1706938233.952
162,1706938233.972
163,1706938233.992
164,1706938234.012
165,1706938234.042
166,1706938234.062
167,1706938234.082
168,1706938234.102
169,1706938234.122
170,1706938234.142
171,1706938234.162
172,1706938234.192
173,1706938234.212
174,1706938234.232
175,1706938234.252
176,1706938234.272
177,1706938234.292
178,1706938234.312
179,1706938234.332
180,1706938234.362
181,1706938234.382
182,1706938234.402
183,1706938234.422
184,1706938234.442
185,1706938234.462
186,1706938234.482
187,1706938234.512
188,1706938234.532
189,1706938234.552
190,1706938234.572
191,1706938234.592
192,1706938234.612
193,1706938234.632
194,1706938234.652
195,1706938234.682
196,1706938234.702
197,1706938234.722
198,1706938234.742
199,1706938234.762
200,1706938234.782
201,1706938234.802
202,1706938234.832
203,1706938234.852
204,1706938234.872
205,1706938234.892
206,1706938234.912
207,1706938234.932
208,1706938234.952
209,1706938234.972
210,1706938235.002
211,1706938235.022
212,1706938235.042
213,1706938235.062
214,1706938235.082
215,1706938235.102
216,1706938235.122
217,1706938235.152
218,1706938235.172
219,1706938235.192
220,1706938235.212
221,1706938235.232
222,1706938235.252
223,1706938235.272
224,1706938235.292
225,1706938235.322
226,1706938235.342
227,1706938235.362
228,1706938235.382
229,1706938235.402
230,1706938235.422
